Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,137.000000,140.940002,136.929993,138.059998,136.052872,40557500
2019-08-02,138.089996,138.320007,135.259995,136.899994,134.909729,30791600
2019-08-05,133.300003,133.929993,130.779999,132.210007,130.287949,42749600
2019-08-06,133.800003,135.679993,133.210007,134.690002,132.731888,32696700
2019-08-07,133.789993,135.649994,131.830002,135.279999,133.313278,33414500
2019-08-08,136.600006,138.990005,135.929993,138.889999,136.870834,27496500
2019-08-09,138.610001,139.380005,136.460007,137.710007,135.707993,23466700
2019-08-12,137.070007,137.860001,135.240005,135.789993,133.815887,20476600
2019-08-13,136.050003,138.800003,135.000000,138.600006,136.585052,25154600
2019-08-14,136.360001,136.919998,133.669998,133.979996,132.471863,32527300
2019-08-15,134.389999,134.580002,132.250000,133.679993,132.175247,28074400
2019-08-16,134.880005,136.460007,134.720001,136.130005,134.597687,24449100
2019-08-19,137.850006,138.550003,136.889999,138.410004,136.852020,24355700
2019-08-20,138.210007,138.710007,137.240005,137.259995,135.714951,21170800
2019-08-21,138.550003,139.490005,138.000000,138.789993,137.227707,14970300
2019-08-22,138.660004,139.199997,136.289993,137.779999,136.229080,18697000
2019-08-23,137.190002,138.350006,132.800003,133.389999,131.888504,38508600
2019-08-26,134.990005,135.559998,133.899994,135.449997,133.925323,20312600
2019-08-27,136.389999,136.720001,134.660004,135.740005,134.212051,23102100
2019-08-28,134.880005,135.759995,133.550003,135.559998,134.034073,17393300
2019-08-29,137.250000,138.440002,136.910004,138.119995,136.565262,20168700
2019-08-30,139.149994,139.179993,136.270004,137.860001,136.308212,23940100
